track_id,first_letter,track,artist_id,artist,track_number,track_uri
2VSGzQqy9nqJefcYGJNWst,T,Tanto la Queria,4dqi10p8S91S2ChvcWsi1L,Andy & Lucas,2,spotify:track:2VSGzQqy9nqJefcYGJNWst
2GJpeySaB1z6mJDEASkIJ4,E,Ella,37MCoi4pcUf9EKsPXeuCqU,Tan Bionica,1,spotify:track:2GJpeySaB1z6mJDEASkIJ4
6w3v8qalH2hpr9vgysk2Bi,A,Adicto a Ti,0HjZsIc6KYOpuxej1LzO3d,Russo,1,spotify:track:6w3v8qalH2hpr9vgysk2Bi
5TMLavqGRKNxgzMBrVpC9R,M,Mon Amour - Remix,7c53ZFyajVMTo08HmvoB6b,zzoilo,1,spotify:track:5TMLavqGRKNxgzMBrVpC9R
0q6LuUqGLUiCPP1cbdwFs3,O,On Melancholy Hill,3AA28KZvwAUcZuOKwyblJQ,Gorillaz,10,spotify:track:0q6LuUqGLUiCPP1cbdwFs3
29ET4ONM7UGb5fIbLfHoDK,M,Mi Bombom,3W4lVkySjtIvd67UUg0F3i,Cabas,4,spotify:track:29ET4ONM7UGb5fIbLfHoDK
36G1gyXJhnCasxslUGN6Us,A,Algo En Ti,2H9gmIyMPOSAAOnxk5dz5t,Ves Tal Vez,1,spotify:track:36G1gyXJhnCasxslUGN6Us
4oDZ5L8izBals6jKBJDBcX,Y,Your Love,1zxDewzd2j1ZdSBGaYcr0y,The Outfield,2,spotify:track:4oDZ5L8izBals6jKBJDBcX
225xvV8r1yKMHErSWivnow,I,"I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack",7Ey4PD4MYsKc5I2dolUwbH,Aerosmith,1,spotify:track:225xvV8r1yKMHErSWivnow
7osHjFGYUmIMB6eAiU9HDs,Q,Querida,2MRBDr0crHWE5JwPceFncq,Juan Gabriel,1,spotify:track:7osHjFGYUmIMB6eAiU9HDs
7qWZcwN7SaOERJDeSUNZMk,U,Un Flash,2F9pvj94b52wGKs0OqiNi2,Babasónicos,4,spotify:track:7qWZcwN7SaOERJDeSUNZMk
